user_id,item_id,event_time,session_id,event_type,dwell_ms,scroll_depth,exposure_rank
10616,739077,2026-01-01 08:00:00,real_session_10616_02,browse,13404,0.269,2
10616,333426,2026-01-01 08:01:00,real_session_10616_06,browse,6992,0.407,6
10616,43911,2026-01-01 08:02:00,real_session_10616_10,browse,9633,0.545,10
10616,822698,2026-01-01 08:03:00,real_session_10616_13,browse,8023,0.648,13
10616,998504,2026-01-01 08:04:00,real_session_10616_18,browse,13109,0.821,18
10616,479305,2026-01-01 08:05:00,real_session_10616_22,collect,8660,0.959,22
10616,1357645,2026-01-01 08:06:00,real_session_10616_26,browse,2600,1.0,26
22838,697516,2026-01-01 08:07:00,real_session_22838_05,browse,9747,0.316,5
22838,214572,2026-01-01 08:08:00,real_session_22838_06,browse,3329,0.34,6
22838,201513,2026-01-01 08:09:00,real_session_22838_07,order,10288,0.363,7
22838,498447,2026-01-01 08:10:00,real_session_22838_08,order,13416,0.386,8
22838,485354,2026-01-01 08:11:00,real_session_22838_15,order,10093,0.549,15
22838,1055649,2026-01-01 08:12:00,real_session_22838_18,order,12403,0.619,18
22838,115563,2026-01-01 08:13:00,real_session_22838_19,click,7771,0.642,19
22838,704657,2026-01-01 08:14:00,real_session_22838_24,collect,2113,0.758,24
22838,116240,2026-01-01 08:15:00,real_session_22838_29,click,7148,0.874,29
22838,287463,2026-01-01 08:16:00,real_session_22838_34,click,11340,0.991,34
22838,1075737,2026-01-01 08:17:00,real_session_22838_35,click,5567,1.0,35
22838,761406,2026-01-01 08:18:00,real_session_22838_36,click,8449,1.0,36
22838,393824,2026-01-01 08:19:00,real_session_22838_37,click,2396,1.0,37
22838,198735,2026-01-01 08:20:00,real_session_22838_40,click,12932,1.0,40
26625,983744,2026-01-01 08:21:00,real_session_26625_06,browse,5984,0.343,6
26625,638712,2026-01-01 08:22:00,real_session_26625_07,browse,5560,0.367,7
26625,664583,2026-01-01 08:23:00,real_session_26625_12,browse,11746,0.486,12
26625,768685,2026-01-01 08:24:00,real_session_26625_13,browse,1629,0.51,13
26625,179344,2026-01-01 08:25:00,real_session_26625_24,browse,1629,0.771,24
26625,478315,2026-01-01 08:26:00,real_session_26625_25,browse,11746,0.795,25
26625,362898,2026-01-01 08:27:00,real_session_26625_27,browse,6921,0.843,27
