user_id,item_id,event_time,session_id,event_type,dwell_ms,scroll_depth,exposure_rank
232870,189266,2026-01-24 16:18:00,real_session_232870_01,click,12640,0.221,1
317862,1318196,2026-01-24 13:24:00,real_session_317862_02,order,7112,0.259,2
353710,253248,2026-01-24 15:53:00,real_session_353710_10,order,2738,0.463,10
393545,749427,2026-01-24 20:00:00,real_session_393545_01,click,5933,0.243,1
618629,279074,2026-01-24 16:05:00,real_session_618629_08,browse,7154,0.548,8
639042,481211,2026-01-24 22:30:00,real_session_639042_05,order,2675,0.372,5
725723,742324,2026-01-24 14:35:00,real_session_725723_01,collect,3069,0.223,1
788004,219745,2026-01-24 13:59:00,real_session_788004_04,click,7149,0.305,4
1284685,6443,2026-01-24 20:10:00,real_session_1284685_03,order,13090,0.264,3
1308927,488555,2026-01-24 18:28:00,real_session_1308927_03,click,12761,0.264,3
1386664,1171600,2026-01-24 22:52:00,real_session_1386664_07,click,11582,0.48,7
1558490,936927,2026-01-24 18:23:00,real_session_1558490_05,browse,12205,0.306,5
1667362,940477,2026-01-24 23:24:00,real_session_1667362_03,click,6157,0.265,3
1776322,332397,2026-01-25 00:29:00,real_session_1776322_07,order,1867,0.346,7
1822522,1226847,2026-01-24 16:08:00,real_session_1822522_04,click,6280,0.291,4
2215949,990424,2026-01-24 14:13:00,real_session_2215949_03,order,10490,0.267,3
2527175,134726,2026-01-24 17:15:00,real_session_2527175_02,browse,7667,0.259,2
2609208,270892,2026-01-24 12:24:00,real_session_2609208_10,collect,5824,0.478,10
2658355,975394,2026-01-24 15:39:00,real_session_2658355_10,click,8937,0.422,10
2731268,68327,2026-01-24 15:02:00,real_session_2731268_03,click,7192,0.265,3
3036345,219745,2026-01-24 16:17:00,real_session_3036345_19,click,7149,0.728,19
3250687,835785,2026-01-24 22:02:00,real_session_3250687_07,browse,13150,0.349,7
3581372,747485,2026-01-24 11:26:00,real_session_3581372_01,click,2219,0.221,1
3754522,918459,2026-01-24 12:03:00,real_session_3754522_06,order,8188,0.346,6
3855301,1114140,2026-01-24 23:38:00,real_session_3855301_02,collect,10766,0.244,2
4354656,397742,2026-01-24 16:54:00,real_session_4354656_01,browse,11204,0.263,1
4356608,398346,2026-01-24 23:06:00,real_session_4356608_02,collect,4758,0.241,2
4402533,849644,2026-01-24 19:30:00,real_session_4402533_43,click,8509,1.0,43
4597887,808935,2026-01-24 09:24:00,real_session_4597887_02,click,11868,0.241,2
4856826,1363297,2026-01-24 21:05:00,real_session_4856826_01,order,9572,0.223,1
4927077,274161,2026-01-24 14:50:00,real_session_4927077_06,order,6889,0.333,6
4937722,1408250,2026-01-24 19:16:00,real_session_4937722_03,order,10125,0.263,3
5245155,1316292,2026-01-25 00:53:00,real_session_5245155_02,collect,10683,0.243,2
5284778,1016821,2026-01-24 17:43:00,real_session_5284778_05,browse,6403,0.302,5
5323373,1209031,2026-01-24 20:06:00,real_session_5323373_01,order,5899,0.236,1
5431896,818637,2026-01-24 21:49:00,real_session_5431896_03,click,2585,0.343,3
5774746,1033663,2026-01-25 01:21:00,real_session_5774746_02,order,1576,0.254,2
5909426,1142047,2026-01-24 10:03:00,real_session_5909426_03,click,4484,0.33,3
6066669,1411733,2026-01-24 20:18:00,real_session_6066669_02,collect,2256,0.257,2
6293922,393794,2026-01-24 15:59:00,real_session_6293922_04,collect,3029,0.382,4
6562006,73824,2026-01-24 14:04:00,real_session_6562006_31,browse,8919,0.995,31
6960317,1342864,2026-01-24 20:33:00,real_session_6960317_01,click,3775,0.221,1
7061032,1287625,2026-01-24 09:41:00,real_session_7061032_01,order,8276,0.221,1
7245569,776079,2026-01-24 14:07:00,real_session_7245569_02,collect,1704,0.245,2
7270195,164247,2026-01-24 10:37:00,real_session_7270195_06,collect,12797,0.32,6
7304982,784668,2026-01-24 13:47:00,real_session_7304982_07,click,8200,0.371,7
7346196,380831,2026-01-24 10:56:00,real_session_7346196_01,order,5110,0.222,1
7399541,398323,2026-01-25 01:00:00,real_session_7399541_10,click,8039,0.427,10
7424399,755658,2026-01-24 15:19:00,real_session_7424399_01,click,4129,0.221,1
7481383,275720,2026-01-24 19:31:00,real_session_7481383_01,click,8598,0.22,1
7614418,953675,2026-01-24 10:05:00,real_session_7614418_01,order,1994,0.533,1
7804435,818140,2026-01-24 20:53:00,real_session_7804435_02,browse,7697,0.259,2
7954651,1398498,2026-01-24 12:37:00,real_session_7954651_03,collect,1692,0.261,3
8063950,1169374,2026-01-24 23:04:00,real_session_8063950_06,browse,10089,0.33,6
8210136,43626,2026-01-24 13:55:00,real_session_8210136_14,click,5194,0.978,14
8289913,221926,2026-01-24 21:07:00,real_session_8289913_01,order,4306,0.223,1
8519202,1023750,2026-01-24 18:55:00,real_session_8519202_03,collect,6759,0.311,3
8715801,904685,2026-01-24 13:25:00,real_session_8715801_02,click,9344,0.244,2
8720092,206291,2026-01-24 14:28:00,real_session_8720092_14,click,13417,0.526,14
8816445,971047,2026-01-24 22:18:00,real_session_8816445_05,collect,6555,0.328,5
8876128,1038925,2026-01-24 17:31:00,real_session_8876128_01,collect,12020,0.224,1
8893099,940349,2026-01-24 17:56:00,real_session_8893099_01,click,5561,0.226,1
9105127,337095,2026-01-24 11:58:00,real_session_9105127_10,click,4985,0.478,10
9268295,1250721,2026-01-24 10:23:00,real_session_9268295_12,browse,7805,0.543,12
9278248,749250,2026-01-24 21:33:00,real_session_9278248_01,collect,11687,0.221,1
9337914,1345555,2026-01-24 16:27:00,real_session_9337914_03,collect,2531,0.261,3
9865664,1319713,2026-01-24 22:24:00,real_session_9865664_02,browse,3154,0.248,2
10214556,219741,2026-01-24 18:11:00,real_session_10214556_07,browse,9978,0.363,7
10493175,941674,2026-01-24 21:01:00,real_session_10493175_03,collect,9776,0.297,3
10792942,1010520,2026-01-24 23:18:00,real_session_10792942_01,order,6872,0.225,1
11082869,1262899,2026-01-24 10:24:00,real_session_11082869_01,order,1908,0.224,1
11116320,278735,2026-01-25 00:01:00,real_session_11116320_01,click,1759,0.22,1
11683435,862256,2026-01-24 10:06:00,real_session_11683435_01,click,3906,0.226,1
11718157,310608,2026-01-24 11:21:00,real_session_11718157_01,click,6962,0.229,1
11772481,389599,2026-01-24 23:51:00,real_session_11772481_11,click,10054,0.444,11
11903376,1104991,2026-01-25 01:07:00,real_session_11903376_02,collect,7224,0.245,2
12261804,111407,2026-01-24 21:19:00,real_session_12261804_01,click,10650,0.22,1
12432907,1155994,2026-01-24 22:38:00,real_session_12432907_06,collect,11841,0.33,6
12512714,33171,2026-01-24 18:34:00,real_session_12512714_17,click,8992,0.636,17
12766883,639186,2026-01-24 09:55:00,real_session_12766883_01,order,1774,0.22,1
13404724,640563,2026-01-24 22:34:00,real_session_13404724_02,browse,7200,0.422,2
13502375,886107,2026-01-24 17:01:00,real_session_13502375_03,browse,4892,0.263,3
14020695,722881,2026-01-24 18:58:00,real_session_14020695_02,click,2183,0.241,2
14105121,724420,2026-01-24 23:55:00,real_session_14105121_04,click,11976,0.285,4
14432274,596443,2026-01-24 10:14:00,real_session_14432274_07,collect,2992,0.356,7
14594257,876796,2026-01-24 21:41:00,real_session_14594257_04,collect,7590,0.411,4
15051774,4032,2026-01-24 13:09:00,real_session_15051774_08,click,1810,0.39,8
15238862,287441,2026-01-24 12:07:00,real_session_15238862_06,browse,13352,0.328,6
15302003,2322,2026-01-24 20:24:00,real_session_15302003_17,order,2909,0.659,17
15315556,750024,2026-01-24 12:52:00,real_session_15315556_01,collect,12892,0.221,1
15481161,188153,2026-01-24 11:15:00,real_session_15481161_04,browse,13185,0.36,4
15544834,334722,2026-01-24 18:41:00,real_session_15544834_02,order,4409,0.243,2
