item_id,tag_type,tag_name,tag_weight
861791,taste,rich,0.45
861791,taste,mild,0.45
861791,scene,lunch,0.46
861791,scene,late_night,0.51
861791,price,luxury,0.47
219745,taste,mild,0.59
219745,taste,savory,0.61
219745,scene,solo_meal,0.64
219745,price,luxury,0.61
1174901,taste,crispy,0.47
1174901,taste,spicy,0.46
1174901,scene,late_night,0.51
1174901,price,luxury,0.47
551580,taste,crispy,0.66
551580,taste,mild,0.64
551580,scene,afternoon_tea,0.73
551580,scene,solo_meal,0.69
551580,price,luxury,0.66
73824,taste,fresh,0.74
73824,taste,crispy,0.75
73824,scene,dinner,0.75
73824,scene,afternoon_tea,0.82
73824,price,luxury,0.75
1040697,taste,mild,0.76
1040697,taste,rich,0.76
1040697,scene,solo_meal,0.81
1040697,scene,dinner,0.78
1040697,price,luxury,0.78
1179030,taste,mild,0.79
1179030,scene,lunch,0.8
1179030,scene,solo_meal,0.84
1179030,price,luxury,0.81
69684,taste,sweet,0.74
69684,taste,savory,0.75
69684,scene,solo_meal,0.78
69684,scene,late_night,0.79
69684,price,luxury,0.75
103022,taste,crispy,0.68
103022,taste,savory,0.68
103022,scene,late_night,0.72
103022,scene,lunch,0.67
103022,price,luxury,0.68
133513,taste,mild,0.47
133513,taste,rich,0.47
133513,scene,dinner,0.49
133513,scene,group_order,0.54
133513,price,luxury,0.49
414624,taste,fresh,0.89
414624,taste,umami,0.89
414624,scene,afternoon_tea,0.52
414624,scene,solo_meal,0.48
414624,price,luxury,0.45
525412,taste,sweet,0.87
525412,taste,mild,0.86
525412,scene,lunch,0.87
525412,scene,solo_meal,0.46
525412,price,luxury,0.88
1341511,taste,savory,0.67
1341511,taste,rich,0.65
1341511,scene,late_night,0.71
1341511,scene,group_order,0.72
1341511,price,luxury,0.67
108066,taste,rich,0.7
108066,taste,umami,0.71
108066,scene,group_order,0.77
108066,scene,late_night,0.76
108066,price,luxury,0.72
416874,taste,rich,0.88
416874,taste,umami,0.89
416874,scene,group_order,0.5
416874,scene,lunch,0.89
416874,price,luxury,0.45
653257,taste,rich,0.86
653257,taste,crispy,0.88
653257,scene,late_night,0.47
653257,scene,group_order,0.48
653257,price,luxury,0.88
771790,taste,crispy,0.46
771790,taste,spicy,0.45
771790,scene,lunch,0.45
771790,price,luxury,0.46
106610,taste,rich,0.54
106610,taste,umami,0.55
106610,scene,lunch,0.55
106610,scene,late_night,0.6
106610,price,luxury,0.56
129544,taste,fresh,0.84
129544,taste,mild,0.83
129544,scene,solo_meal,0.88
129544,price,luxury,0.85
152597,taste,crispy,0.53
152597,taste,mild,0.51
152597,scene,solo_meal,0.56
152597,price,luxury,0.53
595834,taste,rich,0.83
595834,taste,umami,0.84
595834,scene,afternoon_tea,0.47
595834,scene,late_night,0.89
595834,price,luxury,0.85
627647,taste,umami,0.82
