item_id,merchant_id,item_name,primary_cuisine,price_band,popularity_score,user_coverage,avg_position,description_text
861791,152,real_item_861791,noodles,luxury,130.0,130,18.815,rich | mild | lunch | late_night | luxury
219745,306,real_item_219745,salad,luxury,108.0,108,16.241,mild | savory | solo_meal | luxury
1174901,222,real_item_1174901,dessert,luxury,41.0,41,20.244,crispy | spicy | late_night | luxury
551580,381,real_item_551580,hotpot,luxury,37.0,37,21.351,crispy | mild | afternoon_tea | solo_meal | luxury
73824,505,real_item_73824,sichuan,luxury,28.0,28,19.393,fresh | crispy | dinner | afternoon_tea | luxury
1040697,178,real_item_1040697,burger,luxury,20.0,20,16.15,mild | rich | solo_meal | dinner | luxury
1179030,191,real_item_1179030,cantonese,luxury,16.0,16,18.562,mild | lunch | solo_meal | luxury
69684,5,real_item_69684,milk_tea,luxury,15.0,15,22.867,sweet | savory | solo_meal | late_night | luxury
103022,63,real_item_103022,salad,luxury,15.0,15,14.8,crispy | savory | late_night | lunch | luxury
133513,394,real_item_133513,burger,luxury,15.0,15,25.867,mild | rich | dinner | group_order | luxury
414624,185,real_item_414624,milk_tea,luxury,14.0,14,21.714,fresh | umami | afternoon_tea | solo_meal | luxury
525412,213,real_item_525412,dessert,luxury,13.0,13,24.154,sweet | mild | lunch | solo_meal | luxury
1341511,432,real_item_1341511,salad,luxury,13.0,13,26.0,savory | rich | late_night | group_order | luxury
108066,427,real_item_108066,barbecue,luxury,12.0,12,17.583,rich | umami | group_order | late_night | luxury
416874,355,real_item_416874,barbecue,luxury,11.0,11,23.545,rich | umami | group_order | lunch | luxury
653257,138,real_item_653257,hotpot,luxury,10.0,10,14.1,rich | crispy | late_night | group_order | luxury
771790,111,real_item_771790,hotpot,luxury,10.0,10,30.6,crispy | spicy | lunch | luxury
106610,11,real_item_106610,cantonese,luxury,9.0,9,12.111,rich | umami | lunch | late_night | luxury
129544,65,real_item_129544,cantonese,luxury,9.0,9,16.556,fresh | mild | solo_meal | luxury
152597,238,real_item_152597,barbecue,luxury,9.0,9,22.111,crispy | mild | solo_meal | luxury
595834,435,real_item_595834,hotpot,luxury,9.0,9,21.889,rich | umami | afternoon_tea | late_night | luxury
627647,8,real_item_627647,noodles,luxury,9.0,9,17.222,umami | group_order | solo_meal | luxury
701498,19,real_item_701498,sichuan,luxury,9.0,9,27.556,rich | savory | afternoon_tea | late_night | luxury
831756,277,real_item_831756,burger,luxury,9.0,9,23.444,sweet | crispy | group_order | afternoon_tea | luxury
272509,30,real_item_272509,hotpot,luxury,8.0,8,26.875,crispy | rich | late_night | dinner | luxury
383592,353,real_item_383592,cantonese,luxury,8.0,8,26.375,fresh | mild | late_night | luxury
655143,464,real_item_655143,milk_tea,luxury,8.0,8,31.0,umami | sweet | dinner | luxury
681887,168,real_item_681887,dessert,luxury,8.0,8,19.625,umami | spicy | dinner | lunch | luxury
908677,238,real_item_908677,barbecue,luxury,8.0,8,12.25,spicy | lunch | solo_meal | luxury
925419,340,real_item_925419,burger,luxury,8.0,8,20.0,sweet | late_night | group_order | luxury
977485,406,real_item_977485,sichuan,luxury,8.0,8,22.5,savory | mild | solo_meal | lunch | luxury
1235088,89,real_item_1235088,noodles,luxury,8.0,8,16.25,spicy | crispy | solo_meal | group_order | luxury
1327920,361,real_item_1327920,sichuan,luxury,8.0,8,17.25,fresh | rich | group_order | luxury
1393116,37,real_item_1393116,sichuan,luxury,8.0,8,24.75,sweet | fresh | lunch | dinner | luxury
19148,429,real_item_19148,dessert,luxury,7.0,7,23.0,rich | fresh | group_order | afternoon_tea | luxury
56254,95,real_item_56254,milk_tea,luxury,7.0,7,26.571,crispy | spicy | late_night | luxury
116280,321,real_item_116280,dessert,luxury,7.0,7,28.429,fresh | savory | solo_meal | lunch | luxury
169866,347,real_item_169866,milk_tea,luxury,7.0,7,10.714,rich | sweet | solo_meal | afternoon_tea | luxury
213179,500,real_item_213179,milk_tea,luxury,7.0,7,22.0,spicy | solo_meal | late_night | luxury
252041,362,real_item_252041,cantonese,luxury,7.0,7,21.714,mild | rich | afternoon_tea | luxury
270384,505,real_item_270384,sichuan,luxury,7.0,7,29.286,fresh | mild | group_order | late_night | luxury
373048,209,real_item_373048,cantonese,luxury,7.0,7,18.286,sweet | spicy | lunch | late_night | luxury
379560,481,real_item_379560,barbecue,luxury,7.0,7,22.143,fresh | rich | solo_meal | afternoon_tea | luxury
525542,343,real_item_525542,sichuan,luxury,7.0,7,25.286,crispy | spicy | dinner | lunch | luxury
587492,413,real_item_587492,noodles,luxury,7.0,7,21.429,sweet | crispy | afternoon_tea | dinner | luxury
809505,386,real_item_809505,noodles,luxury,7.0,7,18.571,mild | savory | lunch | late_night | luxury
835002,403,real_item_835002,burger,luxury,7.0,7,21.714,rich | mild | afternoon_tea | solo_meal | luxury
888067,428,real_item_888067,milk_tea,luxury,7.0,7,15.143,spicy | rich | afternoon_tea | luxury
938899,300,real_item_938899,hotpot,luxury,7.0,7,23.286,spicy | crispy | group_order | dinner | luxury
973826,387,real_item_973826,salad,luxury,7.0,7,17.857,spicy | sweet | group_order | dinner | luxury
1018956,277,real_item_1018956,burger,luxury,7.0,7,27.571,sweet | umami | afternoon_tea | lunch | luxury
1031445,286,real_item_1031445,burger,luxury,7.0,7,26.857,fresh | spicy | late_night | lunch | luxury
1072930,171,real_item_1072930,salad,luxury,7.0,7,28.429,rich | spicy | solo_meal | lunch | luxury
1198251,172,real_item_1198251,sichuan,luxury,7.0,7,26.571,spicy | sweet | late_night | group_order | luxury
1204216,417,real_item_1204216,hotpot,luxury,7.0,7,16.429,umami | mild | solo_meal | late_night | luxury
1242241,482,real_item_1242241,milk_tea,luxury,7.0,7,19.0,mild | umami | dinner | lunch | luxury
1247915,436,real_item_1247915,barbecue,luxury,7.0,7,30.714,spicy | crispy | lunch | dinner | luxury
1335042,203,real_item_1335042,milk_tea,luxury,7.0,7,26.857,rich | umami | late_night | solo_meal | luxury
39503,504,real_item_39503,salad,luxury,6.0,6,24.5,umami | crispy | lunch | dinner | luxury
106242,163,real_item_106242,sichuan,luxury,6.0,6,11.333,rich | umami | group_order | late_night | luxury
130281,282,real_item_130281,hotpot,luxury,6.0,6,21.667,mild | fresh | afternoon_tea | luxury
165090,251,real_item_165090,noodles,luxury,6.0,6,22.5,spicy | solo_meal | lunch | luxury
167229,310,real_item_167229,barbecue,luxury,6.0,6,17.667,savory | spicy | group_order | lunch | luxury
185038,439,real_item_185038,burger,luxury,6.0,6,23.0,crispy | sweet | group_order | luxury
217882,3,real_item_217882,hotpot,luxury,6.0,6,23.667,crispy | spicy | group_order | solo_meal | luxury
220662,183,real_item_220662,hotpot,luxury,6.0,6,14.333,sweet | savory | late_night | lunch | luxury
231164,285,real_item_231164,dessert,luxury,6.0,6,33.5,sweet | fresh | afternoon_tea | luxury
237805,166,real_item_237805,barbecue,luxury,6.0,6,23.667,savory | mild | group_order | solo_meal | luxury
262649,50,real_item_262649,milk_tea,luxury,6.0,6,25.333,rich | sweet | dinner | luxury
273620,101,real_item_273620,cantonese,luxury,6.0,6,36.333,sweet | umami | lunch | late_night | luxury
329168,9,real_item_329168,salad,luxury,6.0,6,19.667,fresh | savory | dinner | solo_meal | luxury
333659,340,real_item_333659,burger,luxury,6.0,6,18.333,spicy | umami | lunch | late_night | luxury
402282,323,real_item_402282,noodles,luxury,6.0,6,22.333,rich | mild | solo_meal | luxury
413937,18,real_item_413937,salad,luxury,6.0,6,18.833,mild | crispy | lunch | dinner | luxury
417820,261,real_item_417820,salad,luxury,6.0,6,26.5,sweet | late_night | afternoon_tea | luxury
459431,272,real_item_459431,cantonese,luxury,6.0,6,17.667,spicy | sweet | group_order | dinner | luxury
488272,513,real_item_488272,salad,luxury,6.0,6,16.0,sweet | mild | solo_meal | lunch | luxury
498193,34,real_item_498193,burger,luxury,6.0,6,25.5,rich | mild | dinner | lunch | luxury
525779,60,real_item_525779,dessert,luxury,6.0,6,21.0,spicy | afternoon_tea | solo_meal | luxury
582278,399,real_item_582278,hotpot,luxury,6.0,6,20.833,crispy | sweet | late_night | dinner | luxury
594225,386,real_item_594225,noodles,luxury,6.0,6,17.333,mild | crispy | group_order | afternoon_tea | luxury
660329,450,real_item_660329,salad,luxury,6.0,6,15.333,mild | savory | afternoon_tea | solo_meal | luxury
676427,428,real_item_676427,milk_tea,luxury,6.0,6,17.0,spicy | crispy | group_order | dinner | luxury
702179,180,real_item_702179,salad,luxury,6.0,6,34.833,spicy | crispy | solo_meal | group_order | luxury
704504,425,real_item_704504,cantonese,luxury,6.0,6,27.333,spicy | afternoon_tea | late_night | luxury
707973,254,real_item_707973,cantonese,luxury,6.0,6,19.333,savory | umami | dinner | lunch | luxury
776107,268,real_item_776107,burger,luxury,6.0,6,17.833,spicy | mild | group_order | solo_meal | luxury
837223,24,real_item_837223,dessert,luxury,6.0,6,26.667,fresh | umami | late_night | lunch | luxury
848243,124,real_item_848243,burger,luxury,6.0,6,20.0,spicy | umami | late_night | lunch | luxury
