merchant_id,merchant_name,primary_cuisine,city_zone,brand_score,service_score
1,merchant_0001,sichuan,zone_01,0.62,0.63
2,merchant_0002,cantonese,zone_02,0.79,0.76
3,merchant_0003,hotpot,zone_03,0.51,0.89
4,merchant_0004,barbecue,zone_04,0.68,0.62
5,merchant_0005,milk_tea,zone_05,0.85,0.75
6,merchant_0006,dessert,zone_06,0.57,0.88
7,merchant_0007,burger,zone_07,0.74,0.61
8,merchant_0008,noodles,zone_08,0.46,0.74
9,merchant_0009,salad,zone_09,0.63,0.87
10,merchant_0010,sichuan,zone_10,0.8,0.6
11,merchant_0011,cantonese,zone_11,0.52,0.73
12,merchant_0012,hotpot,zone_12,0.69,0.86
13,merchant_0013,barbecue,zone_13,0.86,0.59
14,merchant_0014,milk_tea,zone_14,0.58,0.72
15,merchant_0015,dessert,zone_15,0.75,0.85
16,merchant_0016,burger,zone_16,0.47,0.58
17,merchant_0017,noodles,zone_17,0.64,0.71
18,merchant_0018,salad,zone_18,0.81,0.84
19,merchant_0019,sichuan,zone_19,0.53,0.57
20,merchant_0020,cantonese,zone_20,0.7,0.7
21,merchant_0021,hotpot,zone_01,0.87,0.83
22,merchant_0022,barbecue,zone_02,0.59,0.56
23,merchant_0023,milk_tea,zone_03,0.76,0.69
24,merchant_0024,dessert,zone_04,0.48,0.82
25,merchant_0025,burger,zone_05,0.65,0.55
26,merchant_0026,noodles,zone_06,0.82,0.68
27,merchant_0027,salad,zone_07,0.54,0.81
28,merchant_0028,sichuan,zone_08,0.71,0.54
29,merchant_0029,cantonese,zone_09,0.88,0.67
30,merchant_0030,hotpot,zone_10,0.6,0.8
31,merchant_0031,barbecue,zone_11,0.77,0.53
32,merchant_0032,milk_tea,zone_12,0.49,0.66
33,merchant_0033,dessert,zone_13,0.66,0.79
34,merchant_0034,burger,zone_14,0.83,0.52
35,merchant_0035,noodles,zone_15,0.55,0.65
36,merchant_0036,salad,zone_16,0.72,0.78
37,merchant_0037,sichuan,zone_17,0.89,0.51
38,merchant_0038,cantonese,zone_18,0.61,0.64
39,merchant_0039,hotpot,zone_19,0.78,0.77
40,merchant_0040,barbecue,zone_20,0.5,0.5
41,merchant_0041,milk_tea,zone_01,0.67,0.63
42,merchant_0042,dessert,zone_02,0.84,0.76
43,merchant_0043,burger,zone_03,0.56,0.89
44,merchant_0044,noodles,zone_04,0.73,0.62
45,merchant_0045,salad,zone_05,0.45,0.75
46,merchant_0046,sichuan,zone_06,0.62,0.88
47,merchant_0047,cantonese,zone_07,0.79,0.61
48,merchant_0048,hotpot,zone_08,0.51,0.74
49,merchant_0049,barbecue,zone_09,0.68,0.87
50,merchant_0050,milk_tea,zone_10,0.85,0.6
51,merchant_0051,dessert,zone_11,0.57,0.73
52,merchant_0052,burger,zone_12,0.74,0.86
53,merchant_0053,noodles,zone_13,0.46,0.59
54,merchant_0054,salad,zone_14,0.63,0.72
55,merchant_0055,sichuan,zone_15,0.8,0.85
56,merchant_0056,cantonese,zone_16,0.52,0.58
57,merchant_0057,hotpot,zone_17,0.69,0.71
58,merchant_0058,barbecue,zone_18,0.86,0.84
59,merchant_0059,milk_tea,zone_19,0.58,0.57
60,merchant_0060,dessert,zone_20,0.75,0.7
61,merchant_0061,burger,zone_01,0.47,0.83
62,merchant_0062,noodles,zone_02,0.64,0.56
