user_id,tag_type,tag_name,preference_weight
10616,taste,fresh,0.85
10616,scene,late_night,0.75
10616,price,luxury,0.65
10616,taste,crispy,0.55
10616,scene,afternoon_tea,0.45
22838,price,midrange,0.85
22838,taste,umami,0.75
22838,taste,crispy,0.65
22838,scene,solo_meal,0.55
22838,scene,dinner,0.45
26625,scene,solo_meal,0.85
26625,taste,spicy,0.75
26625,taste,umami,0.65
26625,price,midrange,0.55
26625,scene,late_night,0.45
27365,taste,sweet,0.85
27365,taste,mild,0.75
27365,scene,dinner,0.65
27365,scene,late_night,0.55
27365,price,luxury,0.45
35350,taste,mild,0.85
35350,taste,savory,0.75
35350,scene,solo_meal,0.65
35350,price,luxury,0.55
37757,taste,savory,0.85
37757,taste,sweet,0.75
37757,scene,dinner,0.65
37757,scene,group_order,0.55
37757,price,midrange,0.45
38094,price,midrange,0.85
38094,taste,fresh,0.75
38094,scene,solo_meal,0.65
38094,scene,afternoon_tea,0.55
38094,taste,umami,0.45
52371,taste,crispy,0.85
52371,scene,group_order,0.75
52371,price,midrange,0.65
52371,taste,umami,0.55
52371,scene,solo_meal,0.45
69114,price,midrange,0.85
69114,scene,lunch,0.75
69114,taste,fresh,0.65
69114,scene,late_night,0.55
69114,scene,dinner,0.45
71619,scene,group_order,0.85
71619,price,midrange,0.75
71619,taste,spicy,0.65
71619,taste,crispy,0.55
71619,scene,afternoon_tea,0.45
74206,taste,fresh,0.85
74206,taste,savory,0.75
74206,scene,group_order,0.65
74206,scene,late_night,0.55
74206,price,midrange,0.45
92243,scene,dinner,0.85
92243,taste,fresh,0.75
92243,scene,afternoon_tea,0.65
92243,price,midrange,0.55
92243,price,luxury,0.45
100917,price,budget,0.85
100917,scene,lunch,0.75
100917,taste,savory,0.65
104200,taste,spicy,0.85
104200,taste,umami,0.75
104200,scene,solo_meal,0.65
104200,scene,late_night,0.55
104200,price,midrange,0.45
107562,price,midrange,0.85
107562,taste,rich,0.75
107562,taste,savory,0.65
107562,scene,late_night,0.55
107562,scene,lunch,0.45
109336,taste,rich,0.85
109336,price,midrange,0.75
109336,scene,group_order,0.65
109336,taste,mild,0.55
109336,scene,dinner,0.45
110475,price,budget,0.85
110475,scene,lunch,0.75
110475,taste,savory,0.65
110711,price,budget,0.85
110711,scene,lunch,0.75
110711,taste,savory,0.65
114271,taste,savory,0.85
114271,price,luxury,0.75
114271,scene,dinner,0.65
114271,taste,fresh,0.55
114271,price,midrange,0.45
122901,scene,lunch,0.85
122901,scene,dinner,0.75
122901,price,midrange,0.65
122901,taste,savory,0.55
122901,taste,crispy,0.45
127346,price,midrange,0.85
127346,scene,afternoon_tea,0.75
127346,taste,umami,0.65
127346,scene,lunch,0.55
127346,taste,crispy,0.45
128694,price,midrange,0.85
128694,taste,savory,0.75
128694,taste,crispy,0.65
128694,scene,afternoon_tea,0.55
128694,scene,lunch,0.45
129682,price,budget,0.85
129682,scene,lunch,0.75
129682,taste,savory,0.65
159828,price,midrange,0.85
159828,taste,spicy,0.75
159828,scene,late_night,0.65
159828,taste,crispy,0.55
159828,scene,afternoon_tea,0.45
160780,price,budget,0.85
160780,scene,lunch,0.75
160780,taste,savory,0.65
190669,taste,savory,0.85
190669,scene,late_night,0.75
190669,price,midrange,0.65
190669,scene,solo_meal,0.55
190669,price,luxury,0.45
194742,taste,crispy,0.85
194742,price,midrange,0.75
194742,taste,mild,0.65
194742,scene,group_order,0.55
194742,price,luxury,0.45
195034,price,midrange,0.85
195034,taste,fresh,0.75
195034,scene,late_night,0.65
195034,taste,rich,0.55
195034,scene,afternoon_tea,0.45
197516,price,midrange,0.85
197516,scene,late_night,0.75
197516,scene,group_order,0.65
197516,taste,crispy,0.55
197516,taste,sweet,0.45
202686,scene,dinner,0.85
202686,price,midrange,0.75
202686,taste,rich,0.65
202686,taste,fresh,0.55
202686,price,luxury,0.45
206673,taste,fresh,0.85
206673,price,midrange,0.75
206673,taste,rich,0.65
206673,scene,group_order,0.55
206673,scene,afternoon_tea,0.45
212961,taste,sweet,0.85
212961,scene,dinner,0.75
212961,scene,afternoon_tea,0.65
212961,price,midrange,0.55
212961,taste,savory,0.45
213527,price,midrange,0.85
213527,taste,mild,0.75
213527,scene,dinner,0.65
213527,scene,lunch,0.55
213527,taste,savory,0.45
222616,scene,lunch,0.85
222616,scene,dinner,0.75
222616,price,midrange,0.65
222616,taste,sweet,0.55
222616,taste,rich,0.45
225752,taste,crispy,0.85
225752,taste,umami,0.75
225752,scene,late_night,0.65
225752,scene,solo_meal,0.55
225752,price,luxury,0.45
232289,taste,umami,0.85
232289,scene,solo_meal,0.75
232289,price,luxury,0.65
236817,taste,spicy,0.85
236817,scene,group_order,0.75
236817,price,midrange,0.65
236817,taste,crispy,0.55
236817,scene,lunch,0.45
243699,price,luxury,0.85
243699,taste,rich,0.75
243699,scene,afternoon_tea,0.65
243699,taste,mild,0.55
243699,scene,solo_meal,0.45
262817,taste,sweet,0.85
262817,taste,crispy,0.75
262817,scene,lunch,0.65
262817,scene,afternoon_tea,0.55
262817,price,midrange,0.45
265616,price,midrange,0.85
265616,taste,rich,0.75
265616,taste,sweet,0.65
265616,scene,lunch,0.55
265616,scene,dinner,0.45
267596,scene,late_night,0.85
267596,price,midrange,0.75
267596,taste,crispy,0.65
267596,scene,group_order,0.55
267596,taste,savory,0.45
288573,price,midrange,0.85
288573,scene,late_night,0.75
288573,taste,savory,0.65
288573,taste,mild,0.55
288573,taste,sweet,0.45
299117,price,luxury,0.85
299117,scene,afternoon_tea,0.75
299117,scene,solo_meal,0.65
299117,scene,lunch,0.55
299117,taste,sweet,0.45
300125,price,midrange,0.85
300125,taste,rich,0.75
300125,scene,dinner,0.65
300125,taste,sweet,0.55
300125,scene,afternoon_tea,0.45
302372,price,budget,0.85
302372,scene,lunch,0.75
302372,taste,savory,0.65
324968,scene,lunch,0.85
324968,taste,mild,0.75
324968,taste,spicy,0.65
324968,price,midrange,0.55
324968,taste,rich,0.45
329395,taste,savory,0.85
329395,taste,spicy,0.75
329395,scene,solo_meal,0.65
329395,scene,lunch,0.55
329395,price,midrange,0.45
345123,taste,rich,0.85
345123,taste,spicy,0.75
345123,scene,solo_meal,0.65
345123,price,midrange,0.55
361881,taste,crispy,0.85
361881,taste,savory,0.75
361881,scene,lunch,0.65
361881,scene,late_night,0.55
361881,price,budget,0.45
367563,taste,mild,0.85
367563,taste,crispy,0.75
367563,scene,late_night,0.65
367563,scene,group_order,0.55
367563,price,luxury,0.45
370774,price,luxury,0.85
370774,taste,fresh,0.75
370774,scene,group_order,0.65
370774,scene,late_night,0.55
370774,scene,dinner,0.45
373159,taste,umami,0.85
373159,taste,savory,0.75
373159,scene,group_order,0.65
373159,scene,solo_meal,0.55
373159,price,midrange,0.45
379277,scene,late_night,0.85
379277,price,midrange,0.75
379277,taste,savory,0.65
379277,taste,rich,0.55
379277,scene,dinner,0.45
398488,price,budget,0.85
398488,scene,lunch,0.75
398488,taste,savory,0.65
410488,taste,savory,0.85
410488,scene,afternoon_tea,0.75
410488,price,luxury,0.65
410488,scene,group_order,0.55
410488,taste,rich,0.45
419192,taste,umami,0.85
419192,price,midrange,0.75
419192,taste,rich,0.65
419192,scene,lunch,0.55
419192,scene,group_order,0.45
438323,scene,afternoon_tea,0.85
438323,price,midrange,0.75
438323,taste,rich,0.65
438323,price,luxury,0.55
438323,scene,late_night,0.45
447126,scene,late_night,0.85
447126,price,midrange,0.75
447126,taste,rich,0.65
447126,taste,crispy,0.55
447126,scene,group_order,0.45
450689,price,budget,0.85
450689,scene,lunch,0.75
450689,taste,savory,0.65
462057,scene,late_night,0.85
462057,price,midrange,0.75
462057,taste,sweet,0.65
462057,taste,umami,0.55
462057,scene,lunch,0.45
472517,taste,crispy,0.85
472517,taste,spicy,0.75
472517,scene,group_order,0.65
472517,scene,late_night,0.55
472517,price,budget,0.45
475763,taste,sweet,0.85
475763,price,midrange,0.75
475763,taste,rich,0.65
475763,scene,afternoon_tea,0.55
475763,scene,group_order,0.45
492636,price,budget,0.85
492636,scene,lunch,0.75
492636,taste,savory,0.65
494760,scene,dinner,0.85
494760,scene,lunch,0.75
494760,price,midrange,0.65
494760,taste,crispy,0.55
494760,taste,umami,0.45
505564,scene,dinner,0.85
505564,price,midrange,0.75
505564,taste,spicy,0.65
505564,scene,group_order,0.55
505564,taste,crispy,0.45
509472,price,budget,0.85
509472,scene,lunch,0.75
509472,taste,savory,0.65
521700,price,budget,0.85
521700,scene,lunch,0.75
521700,taste,savory,0.65
523939,taste,fresh,0.85
523939,taste,sweet,0.75
523939,scene,solo_meal,0.65
523939,scene,afternoon_tea,0.55
523939,price,midrange,0.45
524756,taste,fresh,0.85
524756,taste,crispy,0.75
524756,scene,solo_meal,0.65
524756,scene,group_order,0.55
524756,price,budget,0.45
527683,taste,rich,0.85
527683,taste,fresh,0.75
527683,scene,lunch,0.65
527683,scene,group_order,0.55
527683,price,luxury,0.45
533366,scene,group_order,0.85
533366,taste,crispy,0.75
533366,taste,sweet,0.65
533366,price,midrange,0.55
533366,taste,umami,0.45
555359,price,budget,0.85
555359,scene,lunch,0.75
555359,taste,savory,0.65
555823,price,budget,0.85
555823,scene,lunch,0.75
555823,taste,savory,0.65
567948,price,midrange,0.85
567948,scene,lunch,0.75
567948,taste,spicy,0.65
567948,taste,fresh,0.55
567948,scene,group_order,0.45
569030,price,budget,0.85
569030,scene,lunch,0.75
569030,taste,savory,0.65
602469,scene,dinner,0.85
602469,price,midrange,0.75
602469,taste,rich,0.65
602469,scene,solo_meal,0.55
602469,taste,savory,0.45
603069,scene,solo_meal,0.85
603069,price,midrange,0.75
603069,taste,mild,0.65
603069,scene,lunch,0.55
603069,taste,savory,0.45
605485,price,budget,0.85
605485,scene,lunch,0.75
605485,taste,savory,0.65
606043,scene,dinner,0.85
606043,taste,savory,0.75
606043,taste,fresh,0.65
606043,price,midrange,0.55
606043,price,luxury,0.45
611049,scene,solo_meal,0.85
611049,price,midrange,0.75
611049,taste,spicy,0.65
611049,scene,afternoon_tea,0.55
611049,price,luxury,0.45
639529,taste,crispy,0.85
639529,price,midrange,0.75
639529,taste,umami,0.65
639529,scene,lunch,0.55
639529,scene,afternoon_tea,0.45
644125,price,midrange,0.85
644125,taste,sweet,0.75
644125,taste,rich,0.65
644125,scene,lunch,0.55
644125,scene,late_night,0.45
649118,price,luxury,0.85
649118,taste,mild,0.75
649118,taste,crispy,0.65
649118,scene,group_order,0.55
649118,scene,late_night,0.45
652947,price,budget,0.85
652947,scene,lunch,0.75
652947,taste,savory,0.65
656674,price,budget,0.85
656674,scene,lunch,0.75
656674,taste,savory,0.65
657925,taste,sweet,0.85
657925,scene,afternoon_tea,0.75
657925,taste,spicy,0.65
657925,scene,late_night,0.55
657925,price,luxury,0.45
664296,scene,solo_meal,0.85
664296,taste,savory,0.75
664296,taste,umami,0.65
664296,scene,lunch,0.55
664296,price,luxury,0.45
671373,price,midrange,0.85
671373,taste,sweet,0.75
671373,taste,umami,0.65
671373,scene,dinner,0.55
671373,scene,solo_meal,0.45
674261,taste,fresh,0.85
674261,taste,spicy,0.75
674261,scene,solo_meal,0.65
674261,scene,lunch,0.55
674261,price,budget,0.45
679001,price,budget,0.85
679001,scene,lunch,0.75
679001,taste,savory,0.65
681281,taste,mild,0.85
681281,taste,fresh,0.75
681281,scene,solo_meal,0.65
681281,scene,group_order,0.55
681281,price,midrange,0.45
681672,taste,fresh,0.85
681672,price,midrange,0.75
681672,taste,mild,0.65
681672,scene,late_night,0.55
681672,scene,lunch,0.45
688446,scene,afternoon_tea,0.85
688446,scene,solo_meal,0.75
688446,price,midrange,0.65
688446,taste,savory,0.55
688446,taste,fresh,0.45
689922,scene,lunch,0.85
689922,price,midrange,0.75
689922,taste,rich,0.65
689922,scene,late_night,0.55
689922,taste,sweet,0.45
719900,price,midrange,0.85
719900,scene,late_night,0.75
719900,taste,spicy,0.65
719900,taste,sweet,0.55
719900,scene,solo_meal,0.45
724589,taste,sweet,0.85
724589,taste,umami,0.75
724589,scene,afternoon_tea,0.65
724589,scene,solo_meal,0.55
724589,price,midrange,0.45
726218,price,midrange,0.85
726218,taste,umami,0.75
726218,scene,solo_meal,0.65
726218,taste,rich,0.55
726218,scene,dinner,0.45
727682,price,budget,0.85
727682,scene,lunch,0.75
727682,taste,savory,0.65
729362,price,midrange,0.85
729362,scene,afternoon_tea,0.75
729362,scene,dinner,0.65
729362,taste,fresh,0.55
729362,scene,late_night,0.45
736728,taste,mild,0.85
736728,scene,lunch,0.75
736728,price,midrange,0.65
736728,scene,solo_meal,0.55
736728,price,luxury,0.45
739303,taste,rich,0.85
739303,scene,dinner,0.75
739303,price,luxury,0.65
739303,taste,fresh,0.55
739303,scene,group_order,0.45
739746,price,midrange,0.85
739746,scene,solo_meal,0.75
739746,taste,sweet,0.65
739746,scene,dinner,0.55
739746,taste,mild,0.45
740670,taste,rich,0.85
740670,taste,sweet,0.75
740670,scene,group_order,0.65
740670,scene,afternoon_tea,0.55
740670,price,midrange,0.45
747683,price,budget,0.85
747683,scene,lunch,0.75
747683,taste,savory,0.65
753535,scene,afternoon_tea,0.85
753535,taste,umami,0.75
753535,taste,crispy,0.65
753535,scene,late_night,0.55
753535,price,luxury,0.45
755963,taste,crispy,0.85
755963,price,midrange,0.75
755963,taste,umami,0.65
755963,scene,late_night,0.55
755963,scene,dinner,0.45
758831,price,midrange,0.85
758831,scene,group_order,0.75
758831,taste,fresh,0.65
758831,taste,sweet,0.55
758831,scene,dinner,0.45
785963,price,midrange,0.85
785963,taste,crispy,0.75
785963,scene,solo_meal,0.65
785963,scene,group_order,0.55
785963,taste,spicy,0.45
799359,price,budget,0.85
799359,scene,lunch,0.75
799359,taste,savory,0.65
811463,price,midrange,0.85
811463,scene,solo_meal,0.75
811463,price,luxury,0.65
811463,taste,umami,0.55
