user_id,user_type,timestamp,device_type,location_id,query_id,circle_id,budget_level
10616,warm,42,9,50,1052765,fitness_group,luxury
22838,warm,62,5,56,1348519,campus_students,midrange
26625,warm,76,8,50,1501917,budget_life,midrange
27365,warm,78,14,19,1246584,night_owl_gamers,luxury
35350,warm,56,5,9,1002658,foodie_hunters,luxury
37757,warm,8,7,1,1503035,family_group,midrange
38094,warm,90,11,12,908614,campus_students,midrange
52371,warm,14,19,7,79059,foodie_hunters,midrange
69114,warm,74,12,95,783921,family_group,midrange
71619,warm,35,6,65,1498144,budget_life,midrange
74206,warm,47,6,10,348342,campus_students,midrange
92243,warm,42,9,98,1208150,campus_students,midrange
100917,warm,88,40,22,25411,family_group,budget
104200,warm,39,7,91,268949,foodie_hunters,midrange
107562,warm,69,12,40,662747,fitness_group,midrange
109336,warm,21,14,33,182580,family_group,midrange
110475,warm,5,3,1,1435248,budget_life,budget
110711,warm,99,12,5,1531914,fitness_group,budget
114271,warm,100,10,101,542991,night_owl_gamers,luxury
122901,warm,51,6,54,1240934,campus_students,midrange
127346,warm,63,5,93,746280,fitness_group,midrange
128694,warm,54,21,80,312620,campus_students,midrange
129682,warm,92,12,101,344746,budget_life,budget
159828,warm,59,8,64,340024,family_group,midrange
160780,warm,91,11,42,94214,budget_life,budget
190669,warm,2,2,1,222763,office_white_collar,midrange
194742,warm,55,8,79,1311007,office_white_collar,midrange
195034,warm,62,7,66,1588357,fitness_group,midrange
197516,warm,75,9,86,614245,family_group,midrange
202686,warm,78,12,18,1063453,night_owl_gamers,midrange
206673,warm,64,6,90,1104503,office_white_collar,midrange
212961,warm,91,7,48,312620,foodie_hunters,midrange
213527,warm,14,4,93,1393939,office_white_collar,midrange
222616,warm,88,13,91,805171,foodie_hunters,midrange
225752,warm,28,12,1,1393939,office_white_collar,luxury
232289,warm,49,8,70,1240934,fitness_group,luxury
236817,warm,101,9,78,1616824,budget_life,midrange
243699,warm,49,6,57,213539,family_group,luxury
262817,warm,84,16,42,1375362,family_group,midrange
265616,warm,86,7,67,976916,night_owl_gamers,midrange
267596,warm,71,13,70,1522980,family_group,midrange
288573,warm,54,5,25,807440,family_group,midrange
299117,warm,63,12,61,960745,budget_life,luxury
300125,warm,19,11,89,1393939,campus_students,midrange
302372,warm,29,8,29,503577,office_white_collar,budget
324968,warm,74,10,10,1660175,night_owl_gamers,midrange
329395,warm,73,13,72,1529742,campus_students,midrange
345123,warm,99,8,16,1220911,fitness_group,midrange
361881,warm,90,10,20,89662,office_white_collar,budget
367563,warm,15,7,26,842390,night_owl_gamers,luxury
370774,warm,24,24,38,519348,foodie_hunters,luxury
373159,warm,26,22,24,603727,office_white_collar,midrange
379277,warm,27,12,21,216175,budget_life,midrange
398488,warm,87,9,67,1548326,budget_life,budget
410488,warm,59,16,68,1289028,night_owl_gamers,luxury
419192,warm,78,15,2,948165,budget_life,midrange
438323,warm,99,10,78,89280,office_white_collar,midrange
447126,warm,3,9,8,781330,fitness_group,midrange
450689,warm,48,8,90,1137984,office_white_collar,budget
462057,warm,61,5,5,863292,family_group,midrange
472517,warm,7,18,14,250464,campus_students,budget
475763,warm,87,6,25,329156,campus_students,midrange
492636,warm,41,11,22,1380359,budget_life,budget
494760,warm,31,17,69,1511656,family_group,midrange
505564,warm,30,6,63,1354041,family_group,midrange
509472,warm,29,10,17,205170,office_white_collar,budget
521700,warm,2,9,1,403351,night_owl_gamers,budget
523939,warm,78,8,47,206424,campus_students,midrange
524756,warm,28,10,42,852089,fitness_group,budget
527683,warm,76,10,75,633847,family_group,luxury
533366,warm,7,9,1,218402,budget_life,midrange
555359,warm,50,9,25,732801,foodie_hunters,budget
555823,warm,28,14,2,842927,fitness_group,budget
567948,warm,58,6,77,1312325,campus_students,midrange
569030,warm,12,3,5,141962,campus_students,budget
602469,warm,76,7,75,907109,family_group,midrange
603069,warm,40,6,73,1393939,campus_students,midrange
605485,warm,92,11,31,941472,campus_students,budget
606043,warm,72,6,100,939757,fitness_group,midrange
611049,warm,85,10,76,1016642,office_white_collar,midrange
639529,warm,97,11,49,1278234,night_owl_gamers,midrange
644125,warm,52,15,81,309971,budget_life,midrange
649118,warm,99,11,92,234297,foodie_hunters,luxury
652947,warm,1,1,1,1244021,budget_life,budget
656674,warm,85,13,32,1347710,family_group,budget
657925,warm,46,19,76,234300,family_group,luxury
664296,warm,2,4,1,1708115,fitness_group,luxury
671373,warm,86,9,77,814722,fitness_group,midrange
674261,warm,69,16,25,746563,family_group,budget
679001,warm,70,17,18,1342149,family_group,budget
681281,warm,84,5,57,1153264,foodie_hunters,midrange
681672,warm,85,5,20,552402,night_owl_gamers,midrange
688446,warm,92,11,41,1016642,campus_students,midrange
689922,warm,73,9,80,788732,campus_students,midrange
719900,warm,63,5,78,206424,office_white_collar,midrange
724589,warm,76,9,61,976446,campus_students,midrange
726218,warm,86,4,31,1634478,campus_students,midrange
727682,warm,25,4,22,918866,foodie_hunters,budget
729362,warm,62,9,84,842927,night_owl_gamers,midrange
736728,warm,100,10,79,490966,office_white_collar,midrange
739303,warm,68,6,92,624299,night_owl_gamers,luxury
739746,warm,47,9,4,1535301,night_owl_gamers,midrange
740670,warm,90,10,24,1580620,family_group,midrange
747683,warm,73,7,3,1244079,fitness_group,budget
753535,warm,36,7,16,310732,budget_life,luxury
755963,warm,90,12,101,192201,night_owl_gamers,midrange
758831,warm,97,9,80,1591783,campus_students,midrange
785963,warm,91,7,51,1393939,fitness_group,midrange
799359,warm,72,5,93,985583,foodie_hunters,budget
811463,warm,11,7,101,53555,budget_life,midrange
814083,warm,77,5,45,1651852,office_white_collar,budget
814907,warm,61,16,54,1642844,budget_life,midrange
817684,warm,48,48,75,242802,fitness_group,midrange
821466,warm,69,10,59,907268,fitness_group,midrange
823286,warm,11,10,6,555824,night_owl_gamers,budget
825459,warm,74,8,98,294660,office_white_collar,budget
827000,warm,101,8,73,1022188,foodie_hunters,budget
831014,warm,53,7,86,541645,budget_life,midrange
832936,warm,97,7,80,475906,foodie_hunters,midrange
840733,warm,90,15,62,81299,office_white_collar,midrange
852605,warm,93,10,97,595300,fitness_group,midrange
853430,warm,76,14,46,825330,budget_life,midrange
855291,warm,94,9,87,721094,family_group,luxury
857828,warm,96,13,86,130830,foodie_hunters,midrange
858770,warm,62,5,25,1193603,foodie_hunters,midrange
865554,warm,96,8,62,150550,foodie_hunters,midrange
866012,warm,63,11,88,472478,office_white_collar,luxury
868964,warm,54,8,17,1566063,family_group,budget
